Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,100u,C_1210_3225Metric,118.4,-58.375,270,top
C2,0.1u,C_0805_2012Metric,123.3,-91.15,90,top
C3,0.1u,C_0805_2012Metric,116,-91.15,90,top
C4,0.1u,C_0805_2012Metric,130.7,-91.15,90,top
C5,0.047u,C_0805_2012Metric,144.2,-77.55,270,top
C6,10u,C_0805_2012Metric,135.25,-59.5,180,top
C7,0.1u,C_0805_2012Metric,129.3,-81.5,270,top
C8,100n,C_0805_2012Metric,135.25,-57.4,180,top
C9,2.2n,C_0805_2012Metric,128.75,-77.3,0,top
C10,220p,C_0805_2012Metric,128.75,-75.2,0,top
C11,1u,C_0805_2012Metric,141.85,-71.1,0,top
C12,1u,C_0805_2012Metric,135.7,-77.75,90,top
C13,10u,C_0805_2012Metric,141.5,-95.05,90,top
C14,10n,C_0805_2012Metric,139.4,-95.05,90,top
C15,330p,C_0805_2012Metric,111.42,-61.91,270,top
C16,1.1n,C_0805_2012Metric,127.2,-85.45,90,top
C17,20n,C_0805_2012Metric,103.1,-70.54,0,top
C18,1u,C_0805_2012Metric,133.7,-81.45,90,top
C19,11n,C_0805_2012Metric,133.55,-85.45,270,top
C20,10u,C_0805_2012Metric,103.3,-67,0,top
C21,47n,C_0805_2012Metric,135.8,-85.4,90,top
C22,10n,C_0805_2012Metric,103.25,-64.9,0,top
C23,10u,C_0805_2012Metric,142.95,-68.275,270,top
C24,10n,C_0805_2012Metric,140.875,-68.275,270,top
C25,1u,C_0805_2012Metric,114.69,-69.86,180,top
C26,1u,C_0805_2012Metric,114.59,-66.46,180,top
C27,1u,C_0805_2012Metric,115.2,-86.85,270,top
C28,22n,C_0805_2012Metric,130.25,-63.4,0,top
C29,4.7n,C_0805_2012Metric,129.2,-66.15,270,top
C30,470p,C_0805_2012Metric,129.45,-71,0,top
C31,10u,C_0805_2012Metric,119.57,-75.44,270,top
C32,10n,C_0805_2012Metric,117.47,-75.44,270,top
D1,1n4148W,SOD-123,116.875,-54.7,180,top
D2,1n4148W,SOD-123,104.8,-60.625,270,top
D3,1n4148W,SOD-123,108.415,-74.56,180,top
D4,1n4148W,SOD-123,138.925,-61.8,180,top
D5,1n4148W,SOD-123,107.2,-60.625,270,top
D6,1n4148W,SOD-123,108.415,-77.06,0,top
R1,10k,R_0805_2012Metric,142.1,-81.3125,270,top
R2,4.7k,R_0805_2012Metric,131.7,-59.5,180,top
R3,5.3k,R_0805_2012Metric,135.2125,-55.3,180,top
R4,22k,R_0805_2012Metric,131.45,-81.4875,270,top
R5,1M,R_0805_2012Metric,142.1,-77.4875,270,top
R9,330k,R_0805_2012Metric,127.25,-81.4375,90,top
R10,10k,R_0805_2012Metric,145.4125,-71.09,180,top
R11,330k,R_0805_2012Metric,128.7125,-73.1,0,top
R12,100k,R_0805_2012Metric,140.8125,-98.4,0,top
R13,1M,R_0805_2012Metric,141.8875,-73.2,180,top
R14,33k,R_0805_2012Metric,132.2875,-77.3,180,top
R15,10k,R_0805_2012Metric,138.4,-77.7875,270,top
R16,4.7k,R_0805_2012Metric,137.1875,-98.4,180,top
R17,33k,R_0805_2012Metric,109.4,-61.9,90,top
R19,10k,R_0805_2012Metric,135.8,-81.3875,270,top
R20,68k,R_0805_2012Metric,103.0875,-72.66,0,top
R21,1.07M,R_0805_2012Metric,131.45,-85.4875,270,top
R23,68.1k,R_0805_2012Metric,133.6875,-90.9,0,top
R24,165k,R_0805_2012Metric,133.6875,-88.4,0,top
R25,10k,R_0805_2012Metric,114.2125,-59.6,180,top
R26,10k,R_0805_2012Metric,113.5525,-74.76,180,top
R27,47k,R_0805_2012Metric,138.9875,-65.5,180,top
R28,47k,R_0805_2012Metric,138,-81.3125,90,top
R29,100k,R_0805_2012Metric,140,-81.3125,90,top
R30,1M,R_0805_2012Metric,129.3,-85.4125,90,top
R31,1k,R_0805_2012Metric,113.5525,-76.76,0,top
R32,1k,R_0805_2012Metric,114.2275,-62.06,0,top
R33,27k,R_0805_2012Metric,135.4875,-65.45,180,top
R34,10k,R_0805_2012Metric,117.3,-86.8875,270,top
R35,1M,R_0805_2012Metric,120.3,-67.5,0,top
R36,22k,R_0805_2012Metric,114.5525,-64.36,0,top
R37,22k,R_0805_2012Metric,114.4525,-72.26,0,top
R38,1M,R_0805_2012Metric,120.2875,-65.5,0,top
R39,100k,R_0805_2012Metric,119.8,-86.8125,270,top
R40,22k,R_0805_2012Metric,133.7875,-63.4,180,top
R41,1k,R_0805_2012Metric,109.4,-87.0125,90,top
R43,330k,R_0805_2012Metric,131.9875,-65.45,180,top
R44,330k,R_0805_2012Metric,129.4875,-68.9,0,top
R46,68k,R_0805_2012Metric,121,-62.7125,270,top
RV1,50k,Potentiometer_Bourns_TC33X_Vertical,119.75,-91.3,0,top
RV2,500k,Potentiometer_Bourns_TC33X_Vertical,112.45,-91.3,0,top
RV3,100k,Potentiometer_Bourns_TC33X_Vertical,127.05,-91.3,0,top
U4,LM224,SOIC-14_W3.9mm,108.94,-68.56,270,top
U5,LM224,SOIC-14_W3.9mm,135,-71.26,90,top
U7,MC14013BDR2G,SOIC-14_W3.9mm,119.97,-81.1,0,top
