value,footprint,datasheet,libsource/_lib,libsource/_part,libsource/_description,sheetpath/_names,sheetpath/_tstamps,tstamp,_ref,fields/field/0/_name,fields/field/0/__text,fields/field/1/_name,fields/field/1/__text
10k,oc2Clone:R_0805_2012Metric,~,Device,R_Small_US,"Resistor, small US symbol",/,/,61F28F26,R1,,,,
0.047u,oc2Clone:C_0805_2012Metric,~,Device,C_Small,"Unpolarized capacitor, small symbol",/,/,61F29AF7,C5,,,,
1M,oc2Clone:R_0805_2012Metric,~,Device,R_Small_US,"Resistor, small US symbol",/,/,61F2A248,R5,,,,
10k,oc2Clone:R_0805_2012Metric,~,Device,R_Small_US,"Resistor, small US symbol",/,/,61F2BE46,R10,,,,
MMBFJ112,oc2Clone:SOT-23,,oc2Clone,MMBFJ112,,/,/,61F46C64,U2,,,,
1M,oc2Clone:R_0805_2012Metric,~,Device,R_Small_US,"Resistor, small US symbol",/,/,61F475A0,R13,,,,
1u,oc2Clone:C_0805_2012Metric,~,Device,C_Small,"Unpolarized capacitor, small symbol",/,/,61F47CC3,C11,,,,
10k,oc2Clone:R_0805_2012Metric,~,Device,R_Small_US,"Resistor, small US symbol",/,/,61F4D295,R15,,,,
10k,oc2Clone:R_0805_2012Metric,~,Device,R_Small_US,"Resistor, small US symbol",/,/,61F4D862,R19,,,,
1u,oc2Clone:C_0805_2012Metric,~,Device,C_Small,"Unpolarized capacitor, small symbol",/,/,61F4DC3A,C12,,,,
PJ-037A,oc2Clone:CUI_PJ-037A,,oc2Clone,PJ-037A,,/,/,61F5BDD3,J1,MANUFACTURER,CUI INC,STANDARD,Manufacturer recommendations
4.7k,oc2Clone:R_0805_2012Metric,~,Device,R_Small_US,"Resistor, small US symbol",/,/,61F643DC,R2,,,,
1n4148W,oc2Clone:SOD-123,,oc2Clone,1n4148W,,/,/,61F64B75,D1,,,,
100u,oc2Clone:C_0805_2012Metric,~,Device,C_Small,"Unpolarized capacitor, small symbol",/,/,61F68953,C1,,,,
5.3k,oc2Clone:R_0805_2012Metric,~,Device,R_Small_US,"Resistor, small US symbol",/,/,61F6C5EB,R3,,,,
10u,oc2Clone:C_0805_2012Metric,~,Device,C_Small,"Unpolarized capacitor, small symbol",/,/,61F71DBA,C6,,,,
1u,oc2Clone:C_0805_2012Metric,~,Device,C_Small,"Unpolarized capacitor, small symbol",/,/,61F9DBBB,C18,,,,
MMBFJ112,oc2Clone:SOT-23,,oc2Clone,MMBFJ112,,/,/,61FBABA0,U6,,,,
1n4148W,oc2Clone:SOD-123,,oc2Clone,1n4148W,,/,/,61FBC9AA,D4,,,,
100k,oc2Clone:R_0805_2012Metric,~,Device,R_Small_US,"Resistor, small US symbol",/,/,61FBF013,R29,,,,
47k,oc2Clone:R_0805_2012Metric,~,Device,R_Small_US,"Resistor, small US symbol",/,/,61FC49C0,R27,,,,
47k,oc2Clone:R_0805_2012Metric,~,Device,R_Small_US,"Resistor, small US symbol",/,/,61FC4E33,R28,,,,
27k,oc2Clone:R_0805_2012Metric,~,Device,R_Small_US,"Resistor, small US symbol",/,/,61FE791F,R33,,,,
LM224,oc2Clone:SOIC-14_W3.9mm,,oc2Clone,LM224,,/,/,61F793F6,U4,,,,
1n4148W,oc2Clone:SOD-123,,oc2Clone,1n4148W,,/,/,61F9125F,D2,,,,
22k,oc2Clone:R_0805_2012Metric,~,Device,R_Small_US,"Resistor, small US symbol",/,/,61F9AB34,R4,,,,
