Comment,Designator,Footprint,LCSC Part Number
100u,C1,1210,C90143
220p,C10,0805,C61747
1u,"C11,C12,C18,C25,C26,C27",0805,C28323
330p,C15,0805,C51207
20n,C17,0805,C1768
47n,C21,0805,C53134
10n,"C14,C22,C24,C32",0805,C1710
22n,C28,0805,C77069
4.7n,C29,0805,C1744
470p,C30,0805,C1743
0.047u,C5,0805,C53134
10u,"C6,C13,C20,C23,C31",0805,C40894
0.1u,"C2,C3,C4,C7",0805,C49678
100n,C8,0805,C49678
2.2n,C9,0805,C1728
1n4148W,"D1,D2,D3,D4,D5,D6",SOD-123,C81598
S9013,Q1,SOT-23,C727139
10k,"R1,R10,R15,R19,R25,R26,R34",0805,C84376
33k,"R14,R17",0805,C17633
4.7k,"R2,R3,R16",0805,C60816
68k,"R20,R46",0805,C114548
1.07M,R21,0805,C367820
100k,"R18,R22,R42,R45",oc2Clone:Pot_RV16AF_Conn,C149504
68.1k,R23,0805,C17795
165k,R24,0805,C104029
47k,"R27,R28",0805,C164000
100k,"R12,R29,R39",0805,C149504
1k,"R31,R32,R41",0805,C100046
27k,R33,0805,C294701
22k,"R4,R36,R37,R40",0805,C114565
1M,"R5,R13,R30,R35,R38",0805,C107700
500k,RV2,TC33X_Vertical,C128558
50k,RV1,TC33X_Vertical,C145161
100k,RV3,TC33X_Vertical,C128545
330k,"R9,R11,R43,R44",0805,C114528
LM258DT,U3,SOIC-8,C75472
LM224,"U4,U5",SOIC-14,C83089
